date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,yjl163c,rec7011,GAL1p-nsp4,pWJ2754,pWJ1781,11,7,11,4,0.057513894,1.041058841,4,0.063778228,1.092940003,0.952534983,-0.070156016,0.287945373,-0.280790415
4/26/20,MATa-deletion-384,sps18,rec2008,GAL1p-nsp4,pWJ2754,pWJ1781,7,13,9,4,0.061550214,0.925006404,4,0.081372985,0.970897465,0.952738228,-0.069848218,0.287945373,-0.279721468
4/26/20,MATa-deletion-384,ndi1,rec6521,GAL1p-nsp4,pWJ2754,pWJ1781,9,8,21,4,0.073318736,0.922751174,4,0.061433392,0.968492177,0.952775787,-0.069791345,0.287945373,-0.279523956
4/26/20,MATa-deletion-384,ynl043c,rec5368,GAL1p-nsp4,pWJ2754,pWJ1781,11,6,14,4,0.111174575,1.153566602,4,0.077392082,1.210515602,0.952958644,-0.069514489,0.287945373,-0.278562468
4/26/20,MATa-deletion-384,yor366w,rec1663,GAL1p-nsp4,pWJ2754,pWJ1781,11,2,4,4,0.07452224,1.136957614,4,0.048670421,1.192981868,0.953042406,-0.069387686,0.287945373,-0.278122097
4/26/20,MATa-deletion-384,oca2,rec7211,GAL1p-nsp4,pWJ2754,pWJ1781,11,11,4,4,0.028040083,0.954984998,4,0.065101462,1.002040576,0.953044933,-0.069383861,0.287945373,-0.278108812
4/26/20,MATa-deletion-384,bit2,rec7168,GAL1p-nsp4,pWJ2754,pWJ1781,11,15,9,4,0.054437437,1.210379937,4,0.092064577,1.269889532,0.953141664,-0.069237439,0.287945373,-0.277600305
4/26/20,MATa-deletion-384,sys1,rec6772,GAL1p-nsp4,pWJ2754,pWJ1781,13,11,2,4,0.039372909,1.82263291,4,0.159908408,1.912169413,0.953177883,-0.069182619,0.287945373,-0.277409923
4/26/20,MATa-deletion-384,ylr444c,rec6048,GAL1p-nsp4,pWJ2754,pWJ1781,10,4,14,4,0.097322873,1.121151472,4,0.077333525,1.176190276,0.953209845,-0.069134242,0.287945373,-0.277241917
4/26/20,MATa-deletion-384,pus5,rec4114,GAL1p-nsp4,pWJ2754,pWJ1781,5,2,14,4,0.155328957,1.125910766,4,0.014001343,1.181104045,0.953273713,-0.069037581,0.287945373,-0.276906223
4/26/20,MATa-deletion-384,ykr023w,rec7043,GAL1p-nsp4,pWJ2754,pWJ1781,11,11,9,4,0.077242497,0.97097396,4,0.037991713,1.018550184,0.953294836,-0.069005614,0.287945373,-0.276795204
4/26/20,MATa-deletion-384,yor338w,rec1635,GAL1p-nsp4,pWJ2754,pWJ1781,2,7,18,4,0.085664899,0.927559231,4,0.127518288,0.973005789,0.953297412,-0.069001715,0.287945373,-0.276781664
4/26/20,MATa-deletion-384,ybr016w,rec3153,GAL1p-nsp4,pWJ2754,pWJ1781,11,2,5,4,0.153739397,1.123692782,4,0.070047777,1.178740237,0.953303719,-0.068992171,0.287945373,-0.276748519
4/26/20,MATa-deletion-384,yar047c,rec431,GAL1p-nsp4,pWJ2754,pWJ1781,1,12,20,4,0.079051322,0.783063904,4,0.028031088,0.821306254,0.953442831,-0.068781659,0.287945373,-0.276017438
4/26/20,MATa-deletion-384,dap1,rec2082,GAL1p-nsp4,pWJ2754,pWJ1781,3,8,18,4,0.05498656,0.979483633,4,0.065706871,1.027294962,0.953463536,-0.06875033,0.287945373,-0.275908634
4/26/20,MATa-deletion-384,hrq1,rec3650,GAL1p-nsp4,pWJ2754,pWJ1781,8,6,5,4,0.063448078,0.979087263,4,0.017309533,1.026872119,0.953470153,-0.068740317,0.287945373,-0.275873862
4/26/20,MATa-deletion-384,ecm11,rec4280,GAL1p-nsp4,pWJ2754,pWJ1781,12,3,3,4,0.046501402,1.194597272,4,0.107552405,1.252896413,0.95347222,-0.06873719,0.287945373,-0.275863001
4/26/20,MATa-deletion-384,ykl162c,rec5012,GAL1p-nsp4,pWJ2754,pWJ1781,5,14,15,4,0.091927946,0.973987895,4,0.060454921,1.021393017,0.953592319,-0.068555479,0.287945373,-0.275231941
