date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,yor293c-a,rec7621,GAL1p-Orf8,pWJ2755,pWJ1781,14,12,19,4,0.111657783,0.853129793,4,0.111612481,0.934990053,0.912457352,-0.132170966,0.250512415,-0.597730464
4/26/20,MATa-deletion-384,pau23,rec6435,GAL1p-Orf8,pWJ2755,pWJ1781,9,14,10,4,0.091448674,0.982264275,4,0.089820703,1.076432823,0.912526078,-0.132062307,0.250512415,-0.597296714
4/26/20,MATa-deletion-384,tes1,rec6817,GAL1p-Orf8,pWJ2755,pWJ1781,10,15,16,4,0.178260626,1.005448425,4,0.093014516,1.101724774,0.912620999,-0.131912246,0.250512415,-0.596697698
4/26/20,MATa-deletion-384,hos3,rec2136,GAL1p-Orf8,pWJ2755,pWJ1781,3,14,18,4,0.134033995,1.130289145,4,0.094196759,1.238479605,0.912649571,-0.131867079,0.250512415,-0.5965174
4/26/20,MATa-deletion-384,rsm18,rec185,GAL1p-Orf8,pWJ2755,pWJ1781,4,6,24,4,0.150675485,0.96325741,4,0.084860503,1.0553224,0.912769532,-0.13167746,0.250512415,-0.595760475
4/26/20,MATa-deletion-384,ykr005c,rec5076,GAL1p-Orf8,pWJ2755,pWJ1781,8,8,12,4,0.089556784,1.090075506,4,0.016919405,1.194182875,0.912828551,-0.131584179,0.250512415,-0.595388114
4/26/20,MATa-deletion-384,smf1,rec6272,GAL1p-Orf8,pWJ2755,pWJ1781,9,6,2,4,0.124867396,1.195869117,4,0.086356207,1.309937016,0.912927728,-0.131427441,0.250512415,-0.594762445
4/26/20,MATa-deletion-384,pyc2,rec3358,GAL1p-Orf8,pWJ2755,pWJ1781,3,8,17,4,0.106323026,0.846055776,4,0.122114642,0.92664228,0.913043243,-0.131244905,0.250512415,-0.594033795
4/26/20,MATa-deletion-384,mpa43,rec1195,GAL1p-Orf8,pWJ2755,pWJ1781,2,4,9,4,0.056694813,1.031598649,4,0.056152757,1.129739187,0.913137605,-0.131095812,0.250512415,-0.593438643
4/26/20,MATa-deletion-384,lsb5,rec3441,GAL1p-Orf8,pWJ2755,pWJ1781,4,5,21,4,0.039853121,0.956877209,4,0.078804953,1.047813155,0.913221868,-0.130962688,0.250512415,-0.592907238
4/26/20,MATa-deletion-384,cnn1,rec5860,GAL1p-Orf8,pWJ2755,pWJ1781,7,12,5,4,0.044260863,0.798813085,4,0.027004713,0.874716616,0.913234923,-0.130942064,0.250512415,-0.592824909
4/26/20,MATa-deletion-384,ssp120,rec5159,GAL1p-Orf8,pWJ2755,pWJ1781,6,12,3,4,0.036310883,0.958570482,4,0.05510434,1.049482117,0.913383018,-0.130708128,0.250512415,-0.591891078
4/26/20,MATa-deletion-384,pdc5,rec4091,GAL1p-Orf8,pWJ2755,pWJ1781,4,15,5,4,0.183289885,1.293726664,4,0.184747885,1.416419614,0.913384221,-0.130706228,0.250512415,-0.591883494
